,u_0,u_1,u_2,u_3,u_4,u_5,u_6,u_7,u_8,u_9,y_0,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,cat
227,1.3532,1.4116,1.4848,1.5651,1.6439,1.7119,1.761,1.7841,1.7766,1.7364,0.36948,0.36941,0.37274,0.37936,0.38858,0.39919,0.4097,0.41867,0.42493,0.42781,wiener
126,1.0808,1.0357,0.96175,0.86495,0.75306,0.63499,0.51994,0.41648,0.33171,0.27058,0.61946,0.64718,0.67589,0.70332,0.72707,0.74477,0.75421,0.75353,0.74152,0.71779,hammerstein
461,-0.04956,0.026654,0.091048,0.13656,0.1583,0.15397,0.12417,0.072242,0.0040044,-0.072858,0.35503,0.29,0.23032,0.17848,0.13626,0.1046,0.083548,0.072263,0.069134,0.071939,nde
363,-1.768,-1.8308,-1.8618,-1.8586,-1.822,-1.7552,-1.6642,-1.5566,-1.4415,-1.328,-0.40745,-0.42017,-0.42895,-0.43394,-0.4355,-0.43398,-0.42965,-0.42276,-0.41357,-0.40244,wiener
551,-1.5692,-1.6785,-1.768,-1.8308,-1.8618,-1.8586,-1.822,-1.7552,-1.6642,-1.5566,-0.56325,-0.59595,-0.6323,-0.67426,-0.72315,-0.77959,-0.84333,-0.91334,-0.98787,-1.0646,nde
381,-0.79674,-0.61093,-0.43903,-0.28836,-0.16409,-0.068736,-0.0019646,0.039373,0.060885,0.070074,0.0,-0.034705,-0.088728,-0.15023,-0.21045,-0.26336,-0.30533,-0.33473,-0.35158,-0.35709,nde
517,0.22568,0.23806,0.26679,0.30423,0.34163,0.37,0.381,0.3678,0.32571,0.25274,0.7412,0.72657,0.70219,0.67041,0.63408,0.59623,0.55975,0.52714,0.50021,0.47994,nde
76,-0.30629,-0.29814,-0.26167,-0.20274,-0.12907,-0.04956,0.026654,0.091048,0.13656,0.1583,0.26698,0.18546,0.10142,0.019124,-0.057148,-0.12342,-0.17638,-0.21375,-0.23446,-0.23883,hammerstein
398,0.58589,0.74618,0.91462,1.0821,1.2392,1.3774,1.4893,1.5701,1.6172,1.6313,-0.25133,-0.23851,-0.22416,-0.20624,-0.18254,-0.151,-0.10986,-0.057982,0.0050873,0.078974,nde
384,-0.28836,-0.16409,-0.068736,-0.0019646,0.039373,0.060885,0.070074,0.075567,0.086251,0.11037,-0.15023,-0.21045,-0.26336,-0.30533,-0.33473,-0.35158,-0.35709,-0.35331,-0.34272,-0.32785,nde
399,0.74618,0.91462,1.0821,1.2392,1.3774,1.4893,1.5701,1.6172,1.6313,1.6157,-0.23851,-0.22416,-0.20624,-0.18254,-0.151,-0.10986,-0.057982,0.0050873,0.078974,0.16248,nde
165,-0.98274,-1.0355,-1.1133,-1.2125,-1.3271,-1.449,-1.5692,-1.6785,-1.768,-1.8308,-0.87691,-0.90375,-0.92166,-0.93272,-0.93921,-0.94327,-0.94675,-0.95102,-0.95701,-0.96512,hammerstein
185,-1.0747,-1.0353,-1.02,-1.0253,-1.0455,-1.073,-1.0991,-1.1147,-1.1115,-1.0826,-1.0336,-1.0177,-0.99723,-0.97334,-0.94743,-0.92103,-0.89559,-0.8723,-0.85195,-0.83484,hammerstein
183,-1.2247,-1.1386,-1.0747,-1.0353,-1.02,-1.0253,-1.0455,-1.073,-1.0991,-1.1147,-1.0497,-1.0444,-1.0336,-1.0177,-0.99723,-0.97334,-0.94743,-0.92103,-0.89559,-0.8723,hammerstein
